Juego; Calificacion Critico; Calificacion Usuario; Promedio
The Legend of Zelda: Breath of the Wild;96;8.3;52
The Legend of Zelda: Breath of the Wild;97;8.7;52
1-2-Switch;58;4.8;31
Snipperclips - Cut it out, together!;80;8.2;44
Tank Troopers;64;6.0;35
Poochy & Yoshi's Woolly World;77;7.8;42
Fire Emblem Heroes;72;7.2;39
Dragon Quest VIII: Journey of the Cursed King;85;8.6;46
Super Mario Run;76;6.2;41
Excitebots: Trick Racing;;;0
Animal Crossing: New Leaf - Welcome Amiibo;;7.6;0
Super Mario Maker for Nintendo 3DS;73;6.5;39
Pokemon Sun;87;7.6;47
Pokemon Moon;87;7.6;47
Pokemon Sun and Moon Dual Pack;;6.1;0
Swapdoodle;;;0
Mario Party: Star Rush;68;6.9;37
Hyrule Warriors Legends: A Link Between Worlds Pack;;;0
Pokemon Sun and Pokemon Moon Special Demo Version;;5.9;0
Disney Magical World 2;73;5.5;39
Paper Mario: Color Splash;76;7.1;41
Yo-kai Watch 2: Bony Spirits;72;8.0;40
Yo-kai Watch 2: Fleshy Souls;70;8.0;39
Dragon Quest VII: Fragments of the Forgotten Past;81;8.2;44
Picross 3D: Round 2;86;7.8;46
Hyrule Warriors Legends: Phantom Hourglass & Spirit Tracks Pack;;;0
Metroid Prime: Federation Force;64;5.4;34
Style Savvy: Fashion Forward;78;6.9;42
Metroid Prime: Blast Ball;;7.1;0
Pokemon GO;69;5.5;37
Teddy Together;;;0
BoxBoxBoy!;80;7.9;43
Hyrule Warriors Legends: Link's Awakening Pack;;;0
Tokyo Mirage Sessions #FE;80;7.9;43
Mario & Sonic at the Rio 2016 Olympic Games;65;7.7;36
Tokyo Mirage Sessions #FE - EXPedition Hunter;;;0
Tokyo Mirage Sessions #FE - Masterful Hunter;;;0
Tokyo Mirage Sessions #FE - Savage Hunter;;;0
Tokyo Mirage Sessions #FE - Tokyo Millennium Collection;;;0
Rhythm Heaven Megamix;83;8.2;45
Kirby: Planet Robobot;81;8.7;44
Team Kirby Clash;;6.5;0
Hyrule Warriors Legends: Master Wind Waker Pack;;;0
Disney Art Academy;72;7.1;39
Pocket Card Jockey;83;8.1;45
Star Fox Zero;69;7.4;38
Star Fox Guard;74;7.4;40
Star Fox Zero Double Pack;;8.0;0
Bravely Second: End Layer;81;8.2;44
Miitomo;72;7.0;39
My Nintendo Picross - The Legend of Zelda: Twilight Princess;;7.9;0
Hyrule Warriors Legends;70;7.5;38
Mini-Mario & Friends: amiibo Challenge;;6.9;0
Mini-Mario & Friends: amiibo Challenge;;6.8;0
Mario & Sonic at the Rio 2016 Olympic Games;60;6.9;33
Pokken Tournament;76;7.4;41
Fire Emblem Fates: Revelation;88;7.2;47
The Legend of Zelda: Twilight Princess HD;86;8.6;47
Fire Emblem Fates: Conquest;87;8.0;47
Fire Emblem Fates: Birthright;86;7.8;46
Fire Emblem Fates: Special Edition;88;7.8;47
Mario & Luigi: Paper Jam;76;7.3;41
Xenoblade Chronicles X;84;9.1;46
Pokemon Picross;75;7.5;41
Pokemon Super Mystery Dungeon;69;8.2;38
Mario Tennis: Ultra Smash;58;5.1;31
Animal Crossing: amiibo Festival;46;4.0;25
Nintendo Badge Arcade;56;4.0;30
Yo-kai Watch;76;8.1;42
The Legend of Zelda: Tri Force Heroes;73;7.2;40
Fatal Frame: Maiden of Black Water;67;8.0;37
Yoshi's Woolly World;78;8.4;43
Chibi-Robo! Zip Lash;59;5.1;32
Animal Crossing: Happy Home Designer;66;6.9;36
Super Mario Maker;88;8.7;48
Pokemon Shuffle Mobile;62;6.4;34
Devil's Third;43;6.6;24
LBX: Little Battlers eXperience;73;7.4;40
Art Academy: Home Studio;82;7.9;44
Earthbound Beginnings;;8.2;0
Smash Controller;;;0
Dr. Mario: Miracle Cure;69;6.9;37
Splatoon;81;8.7;44
Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition;73;7.6;40
Stretchmo;83;8.0;45
amiibo Tap: Nintendo's Greatest Bits;;7.6;0
Super Smash Bros. for Nintendo 3DS / Wii U: Mewtwo;;;0
Super Smash Bros. for Nintendo 3DS / Wii U: Mewtwo;;;0
Mario Kart 8 DLC Pack 2;90;8.2;49
Xenoblade Chronicles 3D;86;8.7;47
Pokemon Rumble World;58;6.2;32
BOXBOY!;80;8.1;44
Mario Party 10;66;6.4;36
Fossil Fighters: Frontier;57;5.3;31
Code Name: S.T.E.A.M.;69;7.8;38
Hyrule Warriors: Boss Pack;;7.6;0
Mario vs. Donkey Kong: Tipping Stars;70;7.5;38
